Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2000-01-01,2000-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,70.989300,X,base year is 2015
ITA,2001-01-01,2001-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,73.128340,X,base year is 2015
ITA,2002-01-01,2002-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,76.737970,X,base year is 2015
ITA,2003-01-01,2003-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,78.676470,X,base year is 2015
ITA,2004-01-01,2004-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,81.818180,X,base year is 2015
ITA,2005-01-01,2005-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,81.283420,X,base year is 2015
ITA,2006-01-01,2006-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,82.152400,X,base year is 2015
ITA,2007-01-01,2007-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,84.291440,X,base year is 2015
ITA,2008-01-01,2008-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,88.101600,X,base year is 2015
ITA,2009-01-01,2009-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,91.443850,X,base year is 2015
ITA,2010-01-01,2010-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,91.711230,X,base year is 2015
ITA,2011-01-01,2011-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,93.198530,X,base year is 2015
ITA,2012-01-01,2012-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,95.404410,X,base year is 2015
ITA,2013-01-01,2013-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,98.345590,X,base year is 2015
ITA,2014-01-01,2014-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,99.632350,X,base year is 2015
ITA,2015-01-01,2015-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,99.724270,X,base year is 2015
ITA,2016-01-01,2016-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,100.100000,X,base year is 2015
ITA,2017-01-01,2017-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,102.400000,X,base year is 2015
ITA,2018-01-01,2018-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,103.700000,X,base year is 2015
ITA,2019-01-01,2019-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,104.400000,X,base year is 2015
ITA,2020-01-01,2020-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,105.000000,X,base year is 2015
ITA,2021-01-01,2021-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,105.700000,X,base year is 2015
ITA,2022-01-01,2022-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,109.500000,X,base year is 2015
ITA,2023-01-01,2023-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2023,2023,,123.300000,X,base year is 2015
ITA,2024-01-01,2024-01-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2024,2024,,130.400000,X,base year is 2015
